id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,mb_wall_time_log10_s,mb_wall_time_hours,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol,PREDICTED IE Error,ACTUAL IE Error,PREDICTED_minus_ACTUAL_IE_Error
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],wB97X-V/aug-cc-pVTZ/CP,-0.6635882258415222,4.171383804140489,14838.288272811398,[168],complete,-0.03377844270175956,29118.63,4.464170938036719,8.088508333333333,,1781290684.678278,-21.19627680133844,-20.65,-0.55,0.6635882258415222,-0.5462768013384398,1.209865027179962
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],MP2/aug-cc-pVTZ/CP,11.648070335388184,3.7149296700523857,5187.160308955635,[174],complete,-0.059776464613833014,9008.72,3.9546630888228864,2.502422222222222,,1781290684.678278,-37.51026953336174,-20.65,-16.86,-11.648070335388184,-16.860269533361745,5.212199197973561
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B3LYP-D3/aug-cc-pVTZ/CP,-2.1254289150238037,3.735657567729358,5440.734929088083,[180],complete,-0.031004300675931518,10262.47,4.011251900568082,2.850686111111111,,1781290684.678278,-19.45547771285311,-20.65,1.19,2.1254289150238037,1.1945222871468886,0.9309066278769151
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B2PLYP-D3/aug-cc-pVTZ/CP,-1.2228785753250122,3.7587780981559966,5738.231935480545,325,error,,,,,,1781290684.678278,,-20.65,,1.2228785753250122,,
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],HF/aug-cc-pVTZ/CP,-22.93943214416504,3.789401006587065,6157.451597002147,[149],complete,0.014808319303938333,15977.35,4.203504748957061,4.438152777777778,,1781290684.678278,9.29235363809504,-16.34,25.63,22.93943214416504,25.63235363809504,-2.692921493930001
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],PBE-D3/aug-cc-pVTZ/CP,-3.2407102584838867,3.850730847208846,7091.381453667215,[155],complete,-0.022037066457414767,24125.89,4.382483343361299,6.701636111111111,,1781290684.678278,-13.828457535625883,-16.34,2.51,3.2407102584838867,2.5115424643741164,0.7291677941097703
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-D/aug-cc-pVTZ/CP,0.941754937171936,4.349793906432408,22376.590100174966,[161],complete,-0.028655730282025615,47526.76,4.6769382085282265,13.201877777777778,,1781290684.678278,-17.981728653543612,-16.34,-1.64,-0.941754937171936,-1.6417286535436126,0.6999737163716766
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-V/aug-cc-pVTZ/CP,-0.19036072492599487,4.504220662290379,31931.59867411791,[167],complete,-0.027056533060658694,55791.44,4.746567570874129,15.497622222222223,,1781290684.678278,-16.978218004360876,-16.34,-0.64,0.19036072492599487,-0.6382180043608763,0.8285787292868712
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],MP2/aug-cc-pVTZ/CP,6.0552263259887695,4.150382690105144,14137.827881158104,[173],complete,-0.042455941686057486,37789.87,4.577375397913846,10.497186111111112,,1781290684.678278,-26.641485511476247,-16.34,-10.3,-6.0552263259887695,-10.301485511476248,4.246259185487478
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B3LYP-D3/aug-cc-pVTZ/CP,-0.3734265863895416,4.06447517081855,11600.458929168512,[179],complete,-0.02566759345927494,21494.57,4.332328761456043,5.970713888888889,,1781290684.678278,-16.10664590403616,-16.34,0.23,0.3734265863895416,0.23335409596383982,0.1400724904257018
