qcfractal_id,singlepoint_id,stdout_path,psi4_wall_time_seconds
320,339,psi4_outputs/MP2_aug-cc-pVTZ_CP__S8-2__mbid_320__spid_339.stdout.txt,6547.79
158,219,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__CBH__mbid_158__spid_219.stdout.txt,2754.96
182,292,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__CBH__mbid_182__spid_292.stdout.txt,4002.76
158,218,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__CBH__mbid_158__spid_218.stdout.txt,2799.95
324,351,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__C3A__mbid_324__spid_351.stdout.txt,10855.26
170,254,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__CBH__mbid_170__spid_254.stdout.txt,12163.44
159,221,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__Da2__mbid_159__spid_221.stdout.txt,3937.72
164,237,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__CBH__mbid_164__spid_237.stdout.txt,9655.81
153,203,psi4_outputs/HF_aug-cc-pVTZ_CP__Da2__mbid_153__spid_203.stdout.txt,3658.06
156,214,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__C2C2PD__mbid_156__spid_214.stdout.txt,2481.08
327,362,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__CBH__mbid_327__spid_362.stdout.txt,7434.59
153,205,psi4_outputs/HF_aug-cc-pVTZ_CP__Da2__mbid_153__spid_205.stdout.txt,4498.29
149,193,psi4_outputs/HF_aug-cc-pVTZ_CP__C3A__mbid_149__spid_193.stdout.txt,5571.95
185,299,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__C3A__mbid_185__spid_299.stdout.txt,5934.13
182,291,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__CBH__mbid_182__spid_291.stdout.txt,4227.23
319,337,psi4_outputs/MP2_aug-cc-pVTZ_CP__Da2__mbid_319__spid_337.stdout.txt,6382.86
317,331,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__S8-2__mbid_317__spid_331.stdout.txt,4595.13
177,275,psi4_outputs/MP2_aug-cc-pVTZ_CP__Da2__mbid_177__spid_275.stdout.txt,6223.72
328,365,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__Da2__mbid_328__spid_365.stdout.txt,7909.21
170,256,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__CBH__mbid_170__spid_256.stdout.txt,12000.78
169,252,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__2a__mbid_169__spid_252.stdout.txt,20324.51
180,285,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C2C2PD__mbid_180__spid_285.stdout.txt,3988.04
166,242,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__S8-2__mbid_166__spid_242.stdout.txt,12760.87
163,233,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__2a__mbid_163__spid_233.stdout.txt,15688.61
327,361,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__CBH__mbid_327__spid_361.stdout.txt,4700.26
150,196,psi4_outputs/HF_aug-cc-pVTZ_CP__C2C2PD__mbid_150__spid_196.stdout.txt,1470.28
179,283,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C3A__mbid_179__spid_283.stdout.txt,6540.43
182,290,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__CBH__mbid_182__spid_290.stdout.txt,4307.91
190,315,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_190__spid_315.stdout.txt,10049.01
323,348,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_323__spid_348.stdout.txt,5817.33
162,232,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__C2C2PD__mbid_162__spid_232.stdout.txt,15625.84
153,204,psi4_outputs/HF_aug-cc-pVTZ_CP__Da2__mbid_153__spid_204.stdout.txt,4300.73
175,270,psi4_outputs/MP2_aug-cc-pVTZ_CP__2a__mbid_175__spid_270.stdout.txt,12875.58
323,349,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_323__spid_349.stdout.txt,6969.59
169,251,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__2a__mbid_169__spid_251.stdout.txt,16886.89
324,353,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__C3A__mbid_324__spid_353.stdout.txt,12592.95
183,293,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__Da2__mbid_183__spid_293.stdout.txt,5444.52
168,249,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__C2C2PD__mbid_168__spid_249.stdout.txt,10733.72
319,338,psi4_outputs/MP2_aug-cc-pVTZ_CP__Da2__mbid_319__spid_338.stdout.txt,8307.61
172,260,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__S8-2__mbid_172__spid_260.stdout.txt,15919.83
322,345,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__Da2__mbid_322__spid_345.stdout.txt,5413.13
175,269,psi4_outputs/MP2_aug-cc-pVTZ_CP__2a__mbid_175__spid_269.stdout.txt,11210.24
179,282,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C3A__mbid_179__spid_282.stdout.txt,8671.24
178,278,psi4_outputs/MP2_aug-cc-pVTZ_CP__S8-2__mbid_178__spid_278.stdout.txt,8272.19
326,357,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__2a__mbid_326__spid_357.stdout.txt,7284.33
176,272,psi4_outputs/MP2_aug-cc-pVTZ_CP__CBH__mbid_176__spid_272.stdout.txt,3437.9
318,334,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__CBH__mbid_318__spid_334.stdout.txt,11966.97
158,220,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__CBH__mbid_158__spid_220.stdout.txt,2911.53
328,364,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__Da2__mbid_328__spid_364.stdout.txt,5958.06
173,264,psi4_outputs/MP2_aug-cc-pVTZ_CP__C3A__mbid_173__spid_264.stdout.txt,13719.94
160,225,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__S8-2__mbid_160__spid_225.stdout.txt,5116.23
320,341,psi4_outputs/MP2_aug-cc-pVTZ_CP__S8-2__mbid_320__spid_341.stdout.txt,9889.31
152,201,psi4_outputs/HF_aug-cc-pVTZ_CP__CBH__mbid_152__spid_201.stdout.txt,2003.7
180,286,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C2C2PD__mbid_180__spid_286.stdout.txt,3023.39
149,191,psi4_outputs/HF_aug-cc-pVTZ_CP__C3A__mbid_149__spid_191.stdout.txt,4619.67
157,217,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__2a__mbid_157__spid_217.stdout.txt,4773.71
159,222,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__Da2__mbid_159__spid_222.stdout.txt,4572.49
152,202,psi4_outputs/HF_aug-cc-pVTZ_CP__CBH__mbid_152__spid_202.stdout.txt,1788.47
171,258,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__Da2__mbid_171__spid_258.stdout.txt,14235.56
176,274,psi4_outputs/MP2_aug-cc-pVTZ_CP__CBH__mbid_176__spid_274.stdout.txt,3408.5
154,206,psi4_outputs/HF_aug-cc-pVTZ_CP__S8-2__mbid_154__spid_206.stdout.txt,4656.13
174,267,psi4_outputs/MP2_aug-cc-pVTZ_CP__C2C2PD__mbid_174__spid_267.stdout.txt,4147.08
163,234,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__2a__mbid_163__spid_234.stdout.txt,16942.03
166,244,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__S8-2__mbid_166__spid_244.stdout.txt,11119.8
173,263,psi4_outputs/MP2_aug-cc-pVTZ_CP__C3A__mbid_173__spid_263.stdout.txt,6932.48
166,243,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__S8-2__mbid_166__spid_243.stdout.txt,13268.6
164,238,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__CBH__mbid_164__spid_238.stdout.txt,8643.13
177,277,psi4_outputs/MP2_aug-cc-pVTZ_CP__Da2__mbid_177__spid_277.stdout.txt,6792.12
